Date / Time,City,State,Shape,Duration,Summary,Posted,Type
2/15/20 07:30,Weston,FL,Circle,10 minutes,Large moving ball of very light spotted in Weston/Southwest Ranches area going downwards. Was definitely not an aircraft. I was driving,2/25/20,Sighting
2/15/20 05:50,Logan,UT,Light,10 minutes,"Star looking lights moving from West to east. Larger, brighter, colorful star sitting in position twinkling.Went inside for about 5",2/25/20,Sighting
2/15/20 05:30,Spring Hill,FL,Other,10 minutes,"star moving across the east sky. Then another. ((""Starlink"" satellites??))",2/25/20,Sighting
2/15/20 04:00,Junction,TX,Cigar,Still,Silver bright dot. I have pic 325 XXX-XXXX,2/25/20,Sighting
2/15/20 01:00,Bridgewater,NJ,Light,4 seconds,Large blue light streaming and disappearing in midair very low to the road,2/25/20,Sighting
2/15/20 01:00,Dunbar,WV,,2,A ufo was in my tree I went out to smoke a cigarette and it started taking pictures of me there was somebody or something insaid of the,2/25/20,Sighting
2/15/20 01:00,Lehighton,PA,Oval,1 hour,Yellowish white orb sene hovering over back yard in the mountains of lehighton pa. Ring camera captures images,2/25/20,Sighting
2/15/20,Round Rock,TX,Oval,2 minutes,"Look up and see a column of orbs moving in a convoy fashion across the sky. ((""Starlink"" satellites??))",2/25/20,Sighting
2/14/20 21:15,Mullica Hill,NJ,Other,10 minutes,bright round light! Just hovered still and then had a bluish and red light next to the bright light as it took off,2/25/20,Sighting
2/14/20 21:00,Royse City,TX,Light,4 minutes,"There were three side by side ... I thought were stars , I was praying asking what to do ....upset crying outside they weren’t stars",2/25/20,Sighting
2/14/20 20:50,Sheridan,IN,Changing,~1 hour,"Bright, unmoving light in night sky. ((NUFORC Note: Possibly a sighting of Venus?? PD))",2/25/20,Sighting
2/14/20 20:30,EXPORT,PA,Flash,5 minutes,Irregular star like flashes,2/25/20,Sighting
2/14/20 20:00,Cedar Hill,TX,Cone,1 hour,"I saw a large moving, shifting object covered in lights at a distance in the sky.",2/25/20,Sighting
2/14/20 19:30,Winona,TX,Light,2.5 hours,Bright Light over I20 near Tyler TX,2/25/20,Sighting
2/14/20 18:00,Ekin,IN,Light,30 minutes,Bright starlike changing colors silent fast moving disc shaped in binoculars,2/25/20,Sighting
2/14/20 17:55,Seattle,WA,Oval,~5 minute,Glowing ovals seen in South Seattle possibly over Bremerton,2/25/20,Sighting
2/14/20 16:35,Hillsboro,MO,Triangle,30 seconds,"Bright, triangle shaped object near Jefferson College in Hillsboro, MO. ((anonymous report))",2/25/20,Sighting
2/14/20 14:54,Minneapolis,MN,Fireball,5 minutes,Whatever it was fell straight out of the sky. It looked like a little piece of fire followed by a cloud trail,2/25/20,Sighting
2/14/20 13:19,Forest,MS,Sphere,2 seconds,50 to 80 Light spheres in the sky.,2/25/20,Sighting
2/14/20 13:17,Forest,MS,Other,2,Plenty grey balls &#9917;&#65039; in the sky,2/25/20,Sighting
2/14/20 07:35,Jasper,TN,Formation,30 seconds,"I was driving through Jasper,Tennessee and I saw a series of 6 lights lined up in a straight line. They faded out one by one from right",2/25/20,Sighting
